"incident_id","date","country","customer_type","tracking_number","carrier","category","description","status","customer_email","satisfaction_score"
"TRF-000001","2026-08-01","US","B2C","TRK0000001","UPS","LOST_PARCEL","Incident reported by operations","OPEN","user1@example.com",""
"TRF-000002","2026-08-02","US","B2B","TRK0000002","FEDEX","LOST_PARCEL","Incident reported by operations","OPEN","user2@example.com",""
"TRF-000003","2026-08-03","US","B2C","TRK0000003","DHL_US","LOST_PARCEL","Incident reported by operations","OPEN","user3@example.com",""
"TRF-000004","2026-08-04","US","B2B","TRK0000004","UPS","LOST_PARCEL","Incident reported by operations","OPEN","user4@example.com",""
"TRF-000005","2026-08-05","US","B2C","TRK0000005","FEDEX","LOST_PARCEL","Incident reported by operations","OPEN","user5@example.com",""
"TRF-000006","2026-08-06","US","B2B","TRK0000006","DHL_US","LOST_PARCEL","Incident reported by operations","OPEN","user6@example.com",""
"TRF-000007","2026-08-07","US","B2C","TRK0000007","UPS","LOST_PARCEL","Incident reported by operations","OPEN","user7@example.com",""
"TRF-000008","2026-08-08","US","B2B","TRK0000008","FEDEX","LOST_PARCEL","Incident reported by operations","OPEN","user8@example.com",""
"TRF-000009","2026-08-09","US","B2C","TRK0000009","DHL_US","LOST_PARCEL","Incident reported by operations","OPEN","user9@example.com",""
"TRF-000010","2026-08-10","US","B2B","TRK0000010","UPS","LOST_PARCEL","Incident reported by operations","OPEN","user10@example.com",""
"TRF-000011","2026-08-11","US","B2C","TRK0000011","FEDEX","LOST_PARCEL","Incident reported by operations","OPEN","user11@example.com",""
"TRF-000012","2026-08-12","US","B2B","TRK0000012","DHL_US","LOST_PARCEL","Incident reported by operations","OPEN","user12@example.com",""
"TRF-000013","2026-08-13","US","B2C","TRK0000013","UPS","LOST_PARCEL","Incident reported by operations","OPEN","user13@example.com",""
"TRF-000014","2026-08-14","US","B2B","TRK0000014","FEDEX","LOST_PARCEL","Incident reported by operations","OPEN","user14@example.com",""
"TRF-000015","2026-08-15","US","B2C","TRK0000015","DHL_US","DELAYED_DELIVERY","Incident reported by operations","OPEN","user15@example.com",""
"TRF-000016","2026-08-16","US","B2B","TRK0000016","UPS","DELAYED_DELIVERY","Incident reported by operations","OPEN","user16@example.com",""
"TRF-000017","2026-08-17","US","B2C","TRK0000017","FEDEX","DELAYED_DELIVERY","Incident reported by operations","OPEN","user17@example.com",""
"TRF-000018","2026-08-18","US","B2B","TRK0000018","DHL_US","DELAYED_DELIVERY","Incident reported by operations","OPEN","user18@example.com",""
"TRF-000019","2026-08-19","US","B2C","TRK0000019","UPS","DELAYED_DELIVERY","Incident reported by operations","OPEN","user19@example.com",""
"TRF-000020","2026-08-20","US","B2B","TRK0000020","FEDEX","DELAYED_DELIVERY","Incident reported by operations","OPEN","user20@example.com",""
"TRF-000021","2026-08-21","US","B2C","TRK0000021","DHL_US","DELAYED_DELIVERY","Incident reported by operations","OPEN","user21@example.com",""
"TRF-000022","2026-08-22","US","B2B","TRK0000022","UPS","DELAYED_DELIVERY","Incident reported by operations","OPEN","user22@example.com",""
"TRF-000023","2026-08-23","US","B2C","TRK0000023","FEDEX","DELAYED_DELIVERY","Incident reported by operations","OPEN","user23@example.com",""
"TRF-000024","2026-08-24","US","B2B","TRK0000024","DHL_US","DELAYED_DELIVERY","Incident reported by operations","OPEN","user24@example.com",""
"TRF-000025","2026-08-25","US","B2C","TRK0000025","UPS","DELAYED_DELIVERY","Incident reported by operations","OPEN","user25@example.com",""
"TRF-000026","2026-08-26","US","B2B","TRK0000026","FEDEX","DELAYED_DELIVERY","Incident reported by operations","OPEN","user26@example.com",""
"TRF-000027","2026-08-27","US","B2C","TRK0000027","DHL_US","DELAYED_DELIVERY","Incident reported by operations","OPEN","user27@example.com",""
"TRF-000028","2026-08-28","US","B2B","TRK0000028","UPS","DELAYED_DELIVERY","Incident reported by operations","OPEN","user28@example.com",""
"TRF-000029","2026-08-29","US","B2C","TRK0000029","FEDEX","DELAYED_DELIVERY","Incident reported by operations","OPEN","user29@example.com",""
